fecha,monto_creditos_millones,indice_creditos,precio_venta_avg,indice_venta,precio_alquiler_avg,indice_alquiler
2019-01-01,2378.753,33.725107649947084,NA,NA,NA,NA
2019-02-01,2101.543,29.794923603246215,3700.75,98.40326526271006,476.092516298232,86.51897522517623
2019-03-01,2128.531,30.17754979657388,NA,NA,462.3017126967073,84.01281065780847
2019-04-01,2410.731,34.178480275196534,NA,NA,NA,NA
2019-05-01,2627.608,37.25328466716055,3678.15,97.80232929164008,437.4039378102094,79.48820694146367
2019-06-01,1780.417,25.242114245066986,NA,NA,449.39467909362133,81.66725116609743
2019-07-01,1693.802,24.014117812019855,NA,NA,465.916743355167,84.66976017343917
2019-08-01,2039.819,28.9198228489496,NA,NA,NA,NA
2019-09-01,2294.553,32.53135022152742,NA,NA,NA,NA
2019-10-01,1927.071,27.321322106200675,NA,NA,NA,NA
